"","Latitude.[degrees.North]","Longitude.[degrees.East]"
"7",35.7528,14.2765
"9",35.759,14.2574
"12",42.1735,17.7252
"14",42.2038,17.715
"15",39.3991,19.3997
"17",39.3888,19.3905
"19",33.9235,32.8118
"21",33.9179,32.898
"22",27.16,34.835
"24",23.4183,37.245
"26",23.36,37.2183
"28",21.9467,38.2517
"29",18.4417,39.8567
"32",18.3967,39.875
"34",20.8222,63.5133
"37",20.8183,63.5047
"40",20.8457,63.5851
"41",19.0284,64.5126
"44",19.0351,64.5638
"46",19.0393,64.4913
"48",18.5839,66.4727
"51",18.7341,66.3896
"54",14.5536,70.0128
"57",14.6059,69.9776
"59",5.9998,73.9067
"61",6.0001,73.8955
"63",0.0033,71.6428
"66",-9.3921,66.4228
"1",36.5533,-6.5669
"2",36.5533,-6.5669
"67",-16.9534,53.9601
"69",-16.957,53.9801
"3",37.0541,1.9478
"4",37.051,1.9378
"5",39.0609,5.9422
"6",39.1633,5.916
"155",-12.9723,-96.0122
"156",-12.9794,-96.0232
"157",-13.0023,-95.9759
"158",-5.2669,-85.2732
"159",-5.261,-85.1678
"160",-5.2529,-85.1545
"161",2.0299,-84.5546
"163",2.0649,-84.5546
"164",1.9928,-84.5766
"166",-1.9002,-84.6265
"167",-1.8902,-84.6141
"168",-2.0133,-84.589
"169",-16.9587,-100.6751
"170",-16.9486,-100.6715
"171",-16.9601,-100.6335
"172",-23.2189,-129.4997
"173",-23.2232,-129.5986
"174",-23.2811,-129.3947
"176",-9.0063,-139.1394
"180",-8.9729,-139.2393
"184",-8.9971,-139.1963
"188",-8.9109,-140.2845
"191",-8.9068,-140.283
"195",-9.0714,-140.5973
"199",-9.1504,-140.5216
"203",-8.8999,-142.5461
"207",-8.9111,-142.5571
"210",0.0222,-153.6858
"211",3e-04,-153.6759
"212",31.5168,-159.046
"213",31.528,-159.0224
"214",31.5213,-158.9958
"215",35.4002,-127.7499
"216",35.2698,-127.7268
"217",35.3671,-127.7422
"218",14.2075,-116.6468
"219",14.2025,-116.6433
"220",14.2035,-116.6261
"221",6.3378,-102.9538
"222",6.3559,-103.0598
"223",6.3332,-102.9432
"224",7.4122,-79.3017
"225",9.8481,-80.0454
"226",25.6168,-88.4532
"227",25.6236,-88.45
"228",25.5264,-88.394
"229",39.2392,-70.0343
"230",39.2305,-70.0377
"231",34.6663,-71.2907
"232",34.6712,-71.3093
"234",34.1504,-56.9684
"233",31.6948,-64.2489
"235",34.0771,-49.8233
"236",34.1132,-49.9181
"237",35.8427,-37.1526
"238",35.9346,-37.3032
"239",36.1811,-28.9373
"240",36.1715,-29.023
"242",43.7056,-16.8794
"241",43.7182,-16.8714
"243",43.6792,-16.8344
"70",-15.3379,43.2948
"71",-15.3424,43.2965
"72",-17.0248,42.7401
"73",-17.2855,42.2866
"74",-22.3368,40.3412
"76",-29.5333,37.9117
"78",-29.5046,37.9599
"79",-29.5019,37.9889
"82",-35.2421,26.3048
"84",-35.1889,26.2905
"86",-35.1728,26.2868
"88",-34.8901,18.0459
"90",-34.9449,17.9189
"92",-32.2401,17.7103
"96",-31.027,4.6802
"100",-31.0198,4.6685
"102",-31.0266,4.665
"106",-20.4075,-3.1641
"110",-20.4091,-3.1759
"114",-8.7296,-17.9604
"116",-8.7986,-17.9034
"118",-8.7789,-17.9099
"120",-21.0292,-35.3498
"124",-20.9315,-35.1794
"126",-20.9354,-35.1803
"130",-30.1484,-43.2705
"133",-30.1471,-43.2915
"135",-30.1367,-43.2899
"139",-47.2007,-57.9446
"141",-47.1863,-58.2902
"142",-60.2287,-60.6476
"143",-62.2231,-49.2139
"145",-61.9689,-49.5017
"146",-62.0385,-49.529
"147",-33.9116,-73.0537
"148",-34.0614,-73.1066
"149",-32.7971,-87.0693
"150",-29.7238,-101.1604
"151",-25.826,-111.7294
"152",-25.8076,-111.6906
"153",-25.8051,-111.7202
"154",-21.146,-104.787
